city,name,lng,lat
北京,丰台南路,116.30285400000001,39.847201
北京,科怡路,116.303808,39.838664
北京,丰台科技园,116.30363899999999,39.831449
北京,巴沟,116.298179,39.980678000000005
北京,苏州街,116.31276799999999,39.981704
北京,知春里,116.336091,39.982061
北京,知春路,116.347619,39.982065000000006
北京,西土城,116.36048400000001,39.982026
北京,牡丹园,116.376446,39.982371
北京,健德门,116.38781599999999,39.982833
北京,安贞门,116.412371,39.983321999999994
北京,芍药居,116.44357099999999,39.983549
北京,太阳宫,116.45405900000002,39.978367
北京,三元桥,116.463573,39.966879999999996
北京,亮马桥,116.46874299999999,39.955006
北京,农业展览馆,116.468772,39.946988
北京,团结湖,116.468337,39.939382
北京,金台夕照,116.468282,39.922961
北京,劲松,116.46801,39.890027
北京,潘家园,116.46774099999999,39.881735
北京,十里河,116.465176,39.871712
北京,分钟寺,116.460348,39.857886
北京,成寿寺,116.454315,39.851457
北京,宋家庄,116.434913,39.851941
北京,石榴庄,116.420566,39.852109000000006
北京,大红门,116.406253,39.851841
北京,角门东,116.392751,39.851487
北京,草桥,116.359241,39.851597
北京,纪家庙,116.339533,39.850124
北京,首经贸,116.32338,39.847691
北京,丰台站,116.311475,39.856026
北京,泥洼,116.31081299999998,39.8647
北京,西局,116.309853,39.872237
北京,莲花桥,116.316823,39.904081
北京,西钓鱼台,116.30418600000002,39.929671
北京,车道沟,116.300274,39.954895
北京,长春桥,116.30046100000001,39.964876000000004
北京,火器营,116.29561000000001,39.972383
北京,大钟寺,116.35181999999999,39.972034
北京,五道口,116.344434,39.998568
北京,上地,116.32683600000001,40.038699
北京,西二旗,116.312621,40.058918
北京,龙泽,116.326173,40.076646999999994
北京,回龙观,116.34232,40.076426
北京,北苑,116.44131499999999,40.048871999999996
北京,望京西,116.455519,40.00107
北京,光熙门,116.438355,39.974474
北京,柳芳,116.43926499999999,39.964106
北京,张郭庄,116.19340600000001,39.864102
北京,园博园,116.197275,39.881916
北京,大瓦窑,116.246953,39.865215
北京,郭庄子,116.25983500000001,39.870754999999996
北京,大井,116.281826,39.871571
北京,陶然桥,116.39673700000002,39.878563
北京,永定门外,116.405983,39.872792
北京,景泰,116.41716399999999,39.871443
北京,方庄,116.43395600000001,39.867562
北京,南八里庄,116.50523000000001,39.927909
北京,北工大西门,116.484017,39.880747
北京,平乐园,116.48396699999999,39.890758
北京,红庙,116.363844,40.382178
北京,朝阳公园,116.489038,39.949954999999996
北京,枣营,116.48155,39.950188
北京,东风北桥,116.492579,39.9645
北京,将台,116.496253,39.97696
北京,高家园,116.490299,39.983444
北京,望京南,116.488454,39.990534000000004
北京,阜通,116.47764199999999,39.997887
北京,望京,116.47530400000001,40.004532
北京,东湖渠,116.47403200000001,40.016228000000005
北京,来广营,116.47348899999999,40.026145
北京,清华东路西口,116.345527,40.0063
北京,六道口,116.35930900000001,40.006718
北京,北沙滩,116.375561,40.007538000000004
北京,安立路,116.414285,40.008946
北京,关庄,116.43788899999998,40.007135999999996
北京,望京东,116.4933,40.00927
北京,崔各庄,116.499145,40.028437
北京,马泉营,116.509638,40.039846999999995
北京,孙河,116.54104,40.051264
北京,国展,116.56172099999999,40.075932
北京,花梨坎,116.564223,40.090312
北京,后沙峪,116.570793,40.119865000000004
北京,南法信,116.61641100000001,40.134458
北京,石门,116.647499,40.136314
北京,顺义,116.661427,40.136352
北京,四惠东,116.522347,39.914943
北京,高碑店,115.88056599999999,39.332334
北京,传媒大学,116.561375,39.915197
北京,双桥,116.58333200000001,39.915884999999996
北京,管庄,116.605782,39.914907
北京,八里桥,116.62514099999999,39.912217999999996
北京,通州北苑,116.64361000000001,39.910064
北京,果园,116.656072,39.898888
北京,九棵树,116.663922,39.896462
北京,梨园,116.67521799999999,39.889716
北京,临河里,116.68546699999999,39.881239
北京,昌平西山口,116.202226,40.250294
北京,十三陵景区,116.21434599999999,40.245742
北京,昌平,116.23761599999999,40.226413
北京,昌平东关,116.268533,40.227946
北京,北邵洼,116.287975,40.228114
北京,南邵,116.29350500000001,40.213429999999995
北京,沙河高教园,116.28675700000001,40.171012
北京,沙河,116.29505800000001,40.154693
北京,巩华城,116.30043400000001,40.137318
北京,生命科学园,116.30055,40.100975
北京,肖村,116.455024,39.839926
北京,小红门,116.46580800000001,39.83399
北京,旧宫,116.467432,39.812543
北京,亦庄桥,116.486851,39.808826
北京,亦庄文化园,116.49701,39.812839000000004
北京,万源街,116.511928,39.809251
北京,荣京东街,116.51974399999999,39.799616
北京,荣昌东街,116.528038,39.789194
北京,同济南路,116.546383,39.779146999999995
北京,经海路,116.56891200000001,39.789493
北京,次渠南,116.587934,39.800804
北京,公益西桥,116.37731399999998,39.843056
北京,新宫,116.372097,39.818302
北京,西红门,116.335169,39.795445
北京,高米店北,116.337331,39.779548
北京,高米店南,116.33841000000001,39.769059000000006
北京,枣园,116.338975,39.759079
北京,清源路,116.339019,39.748354
北京,黄村西大街,116.339128,39.73738
北京,黄村火车站,116.33821599999999,39.725999
北京,义和庄,116.325538,39.718296
北京,生物医药基地,116.32832900000001,39.692307
北京,郭公庄,116.308567,39.820764000000004
北京,大葆台,116.29815900000001,39.814112
北京,稻田,116.225429,39.800509000000005
北京,长阳,116.21926299999998,39.769411
北京,篱笆房,116.19592800000001,39.766697
北京,广阳城,116.191395,39.754016
北京,良乡大学城北,116.18986100000001,39.736109
北京,良乡大学城,116.17748,39.731491999999996
北京,良乡大学城西,116.16268400000001,39.7296
北京,良乡南关,116.147255,39.72947
北京,T3航站楼,116.619758,40.072776
北京,T2航站楼,116.600726,40.086705
北京,潞城,116.754799,39.90889
北京,焦化厂,116.543631,39.861686
北京,善各庄,116.48476200000002,40.03309
北京,俸伯,116.69145,40.138304
北京,土桥,116.69298,39.877629
北京,次渠,116.59791100000001,39.809191
北京,天宫院,116.32643700000001,39.676122
北京,苏庄,116.13189799999999,39.729197
